Condition,timefit,Time,Gate,TOF,Extinction,Green,logGreen
CM25,24,T24,R4,1602,1759,1607,7.382124366
CM25,24,T24,R4,2109,2197,1389,7.236339343
CM25,24,T24,R4,2555,3643,4371,8.382747095
CM25,24,T24,R4,2100,2705,1233,7.117205503
CM25,24,T24,R4,2194,2008,3569,8.180040723
CM25,24,T24,R4,1763,2723,3443,8.144098463
CM25,24,T24,R2,2857,2016,918,6.822197391
CM25,24,T24,R4,2113,2211,2140,7.668561108
CM25,24,T24,R4,2569,2975,4713,8.458079927
CM25,24,T24,R5,2075,2733,106,4.663439094
CM25,24,T24,R5,1837,2644,104,4.644390899
CM25,24,T24,R4,1732,1599,2260,7.723120092
CM25,24,T24,R5,1919,2403,136,4.912654886
CM25,24,T24,R2,2547,2561,639,6.459904454
CM25,24,T24,R2,2711,3199,656,6.486160789
CM25,24,T24,R4,2604,3504,4321,8.371242136
CM25,24,T24,R5,2723,2253,248,5.513428746
CM25,24,T24,R2,2297,3141,516,6.246106765
CM25,24,T24,R5,2405,2803,62.3,4.131961426
CM25,24,T24,R4,1975,2039,1604,7.380255788
CM25,24,T24,R4,2197,1507,2103,7.651120176
CM25,24,T24,R4,2807,3436,2429,7.795234929
CM25,24,T24,R4,2262,1590,2094,7.646831391
CM25,24,T24,R4,2680,2965,3701,8.216358332
CM25,24,T24,R5,2854,3624,71.8,4.273884476
CM25,24,T24,R4,2331,2409,3109,8.04205641
CM25,24,T24,R5,2110,2755,79,4.369447852
CM25,24,T24,R5,1638,2691,97.1,4.575741375
CM25,24,T24,R4,2242,2048,1954,7.577633833
CM25,24,T24,R4,1749,2005,3251,8.08671792
CM25,24,T24,R2,2890,2812,1078,6.982862751
CM25,24,T24,R5,2117,2344,81.3,4.398146017
CM25,24,T24,R4,1712,2267,1101,7.003974137
CM25,24,T24,R4,1833,1363,2950,7.989560449
CM25,24,T24,R4,2185,2859,2443,7.800982071
CM25,24,T24,R5,1796,2337,69.7,4.244200318
CM25,24,T24,R4,2806,3317,1888,7.543273347
CM25,24,T24,R5,2426,2785,57.3,4.048300624
CM25,24,T24,R4,1994,2179,3481,8.155074888
CM25,24,T24,R4,2634,3426,3719,8.221210094
CM25,24,T24,R4,2343,3065,4363,8.380915173
CM25,24,T24,R4,3028,2495,3592,8.186464429
CM25,24,T24,R4,2669,1855,3676,8.209580483
CM25,24,T24,R4,2393,2644,2303,7.7419679
CM25,24,T24,R5,2334,2044,50.9,3.929862924
CM25,24,T24,R5,2207,2767,72.8,4.287715955
CM25,24,T24,R3,2522,2272,48.5,3.881563798
CM25,24,T24,R4,1708,1829,1190,7.081708586
CM25,24,T24,R4,2285,2229,4107,8.320448114
CM25,24,T24,R5,1854,1690,60.6,4.104294893
CM25,24,T24,R4,2073,2876,2496,7.822444729
CM25,24,T24,R4,2022,2177,3636,8.198639455
CM25,24,T24,R3,1789,1913,42.5,3.749504076
CM25,24,T24,R4,2548,2490,3921,8.274102002
CM25,24,T24,R4,1967,2692,2000,7.60090246
