Condition,timefit,Time,Gate,TOF,Extinction,Green,logGreen
CM25,0,T0,R2,2072,2782,898,6.800170068
CM25,0,T0,R4,2632,2972,2890,7.969011781
CM25,0,T0,R2,2605,3662,1097,7.00033446
CM25,0,T0,R5,3033,3462,76.5,4.337290741
CM25,0,T0,R4,2793,2974,1895,7.546974118
CM25,0,T0,R4,2309,3290,1189,7.080867897
CM25,0,T0,R4,2222,3262,2659,7.885705391
CM25,0,T0,R2,2651,3282,792,6.674561392
CM25,0,T0,R5,2547,3426,308,5.730099783
CM25,0,T0,R5,1847,2617,379,5.937536205
CM25,0,T0,R5,2587,3233,301,5.707110265
CM25,0,T0,R5,2275,2946,339,5.826000107
CM25,0,T0,R5,2362,3576,400,5.991464547
CM25,0,T0,R5,2990,3508,331,5.802118375
CM25,0,T0,R2,1786,2205,648,6.473890696
CM25,0,T0,R4,2752,3127,1902,7.550661243
CM25,0,T0,R2,2417,2656,902,6.80461452
CM25,0,T0,R5,2084,2835,276,5.620400866
CM25,0,T0,R5,2318,3614,517,6.248042875
CM25,0,T0,R5,2116,2808,357,5.877735782
CM25,0,T0,R4,2325,2866,1518,7.325148958
CM25,0,T0,R5,2442,3285,518,6.249975242
CM25,0,T0,R4,2418,3067,1477,7.297768283
CM25,0,T0,R5,2037,2400,144,4.9698133
CM25,0,T0,R4,2457,3142,3393,8.129469765
CM25,0,T0,R4,2078,2869,3894,8.267192186
CM25,0,T0,R2,2126,3216,712,6.568077911
CM25,0,T0,R2,2452,2907,1112,7.013915475
CM25,0,T0,R2,2300,2768,830,6.721425701
CM25,0,T0,R2,2894,2590,1097,7.00033446
CM25,0,T0,R2,1694,2708,499,6.212606096
CM25,0,T0,R4,1630,2192,1626,7.39387829
CM25,0,T0,R4,2565,3166,3162,8.058960018
CM25,0,T0,R5,2684,3101,488,6.190315406
CM25,0,T0,R4,2057,2616,1280,7.154615357
CM25,0,T0,R4,2800,3327,3245,8.084870629
CM25,0,T0,R5,1598,2288,361,5.888877958
CM25,0,T0,R4,2895,3447,2930,7.982757702
CM25,0,T0,R4,1699,2346,3191,8.068089626
CM25,0,T0,R2,2457,3301,1194,7.085064294
CM25,0,T0,R4,2367,3087,1710,7.444248649
CM25,0,T0,R5,3191,4271,105,4.65396035
CM25,0,T0,R2,2459,2707,558,6.324358962
CM25,0,T0,R2,1676,1978,980,6.887552572
CM25,0,T0,R4,2204,3081,1949,7.5750717
CM25,0,T0,R4,2528,2821,1553,7.347943823
CM25,0,T0,R4,2352,3360,1641,7.403061091
CM25,0,T0,R5,2146,3155,80.4,4.387014176
CM25,0,T0,R5,2642,3157,358,5.880532986
CM25,0,T0,R5,2071,2595,296,5.690359454
CM25,0,T0,R5,1821,2680,191,5.252273428
CM25,0,T0,R2,2650,3330,1037,6.944087208
CM25,0,T0,R4,2273,2877,2206,7.6989362
CM25,0,T0,R4,2293,3001,1572,7.360103973
CM25,0,T0,R5,2219,2635,115,4.744932128
CM25,0,T0,R2,2511,3102,823,6.712956201
CM25,0,T0,R5,2724,3118,271,5.602118821
CM25,0,T0,R5,1963,2852,84,4.430816799
CM25,0,T0,R2,2346,3536,1014,6.921658184
CM25,0,T0,R5,2491,3529,288,5.66296048
CM25,0,T0,R2,2621,3228,930,6.835184586
CM25,0,T0,R2,1921,2907,503,6.22059017
CM25,0,T0,R5,1749,2005,94.8,4.551769409
CM25,0,T0,R5,2418,2754,111,4.709530201
CM25,0,T0,R5,2494,3686,284,5.648974238
CM25,0,T0,R4,1626,2574,1420,7.258412151
CM25,0,T0,R4,1910,2008,2352,7.763021309
CM25,0,T0,R4,2688,3369,1957,7.579167967
CM25,0,T0,R4,2790,3550,1519,7.325807503
CM25,0,T0,R4,2046,2800,2898,7.971776123
CM25,0,T0,R4,2963,3743,4057,8.308199063
CM25,0,T0,R4,2684,2934,3793,8.240912542
CM25,0,T0,R4,2323,2654,1433,7.267525428
CM25,0,T0,R5,1525,2378,235,5.459585514
CM25,0,T0,R4,2845,3446,3255,8.087947555
CM25,0,T0,R4,2222,3130,1392,7.238496841
CM25,0,T0,R2,2405,2976,659,6.490723535
CM25,0,T0,R5,2056,2749,229,5.433722004
CM25,0,T0,R4,2157,3171,2326,7.751905333
CM25,0,T0,R2,2448,3504,654,6.483107351
CM25,0,T0,R5,2571,3302,477,6.167516491
